id,Variant Price,Sku,Compare At Price,Barcode,Title,Description,hide out of stock,Track Inventory,Is Active,Is Approved,Tags,Product Group,Vendor,Product Type,Product Brand,Collection
1,1000,DP-01,1500,Barcode-1,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",TRUE,TRUE,TRUE,TRUE,men,1,1,Test Product,1,1
2,1200,DP-02,1500,Barcode-2,Striped Skirt and Top,Black cotton top with matching striped skirt.,TRUE,TRUE,TRUE,TRUE,women,1,1,Test Product,1,1
3,1400,DP-03,1500,Barcode-3,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,TRUE,TRUE,TRUE,TRUE,women,1,1,Test Product,1,1
4,1600,DP-04,2000,Barcode-4,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,TRUE,TRUE,TRUE,TRUE,"men, sizechart",1,1,Test Product,1,1
5,1800,DP-05,2000,Barcode-5,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,TRUE,TRUE,TRUE,TRUE,women,1,1,Test Product,1,1
6,2000,DP-06,2500,Barcode-6,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,TRUE,TRUE,TRUE,TRUE,women,1,1,Test Product,1,1
7,2200,DP-07,2500,Barcode-7,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",TRUE,TRUE,TRUE,TRUE,men,1,1,Test Product,1,1
8,2400,DP-08,2500,Barcode-8,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",FALSE,TRUE,TRUE,TRUE,women,1,1,Test Product,1,1
9,2600,DP-09,3000,Barcode-9,Silk Summer Top,Silk womens top with short sleeves and number pattern.,FALSE,TRUE,TRUE,TRUE,women,1,1,Test Product,1,1
10,2800,DP-10,3000,Barcode-10,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,FALSE,TRUE,TRUE,TRUE,men,1,1,Test Product,1,1
11,3000,DP-11,3500,Barcode-11,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.",FALSE,TRUE,FALSE,FALSE,women,2,2,Test Product,2,2
12,3200,DP-12,3500,Barcode-12,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",FALSE,FALSE,FALSE,FALSE,women,2,2,Test Product,2,2
13,3400,DP-13,3500,Barcode-13,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",FALSE,FALSE,FALSE,FALSE,men,2,2,Test Product,2,2
14,3600,DP-14,4000,Barcode-14,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",FALSE,FALSE,FALSE,FALSE,women,2,2,Test Product,2,2
15,3800,DP-15,4000,Barcode-15,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",FALSE,FALSE,FALSE,FALSE,women,2,2,Test Product,2,2
16,4000,DP-16,4500,Barcode-16,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,TRUE,FALSE,FALSE,FALSE,women,2,2,Test Product,2,2
17,4200,DP-17,4500,Barcode-17,Floral White Top,Stylish sleeveless white top with a floral pattern.,TRUE,FALSE,FALSE,FALSE,women,2,2,Test Product,2,2
18,4400,DP-18,4500,Barcode-18,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,TRUE,TRUE,FALSE,FALSE,women,2,2,Test Product,2,2
19,4600,DP-19,5000,Barcode-19,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",TRUE,TRUE,FALSE,FALSE,women,2,2,Test Product,2,2
20,4800,DP-20,10000,Barcode-20,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,TRUE,FALSE,FALSE,men,2,2,Test Product,2,2
21,5000,DP-21,10000,Barcode-21,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",TRUE,TRUE,TRUE,TRUE,women,3,3,Test Product,3,3
22,5200,DP-22,10000,Barcode-22,Striped Skirt and Top,Black cotton top with matching striped skirt.,TRUE,TRUE,TRUE,TRUE,women,3,3,Test Product,3,3
23,5400,DP-23,10000,Barcode-23,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,TRUE,TRUE,TRUE,TRUE,"men, sizechart",3,3,Test Product,3,3
24,5600,DP-24,10000,Barcode-24,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,TRUE,TRUE,TRUE,TRUE,women,3,3,Test Product,3,3
25,5800,DP-25,10000,Barcode-25,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,TRUE,TRUE,TRUE,TRUE,women,3,3,Test Product,3,3
26,6000,DP-26,10000,Barcode-26,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,TRUE,TRUE,TRUE,TRUE,men,3,3,Test Product,3,3
27,6200,DP-27,10000,Barcode-27,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",TRUE,FALSE,TRUE,TRUE,women,3,3,Test Product,3,3
28,6400,DP-28,10000,Barcode-28,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",TRUE,FALSE,TRUE,TRUE,women,3,3,Test Product,3,3
29,6600,DP-29,10000,Barcode-29,Silk Summer Top,Silk womens top with short sleeves and number pattern.,TRUE,FALSE,TRUE,TRUE,men,3,3,Test Product,3,3
30,6800,DP-30,10000,Barcode-30,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,TRUE,FALSE,TRUE,TRUE,women,3,3,Test Product,3,3
31,7000,DP-31,10000,Barcode-31,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.",TRUE,FALSE,TRUE,TRUE,women,4,4,Test Product,4,4
32,7200,DP-32,10000,Barcode-32,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",TRUE,FALSE,TRUE,TRUE,men,4,4,Test Product,4,4
33,7400,DP-33,10000,Barcode-33,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,FALSE,TRUE,TRUE,women,4,4,Test Product,4,4
34,7600,DP-34,10000,Barcode-34,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",TRUE,FALSE,TRUE,TRUE,women,4,4,Test Product,4,4
35,7800,DP-35,10000,Barcode-35,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",TRUE,TRUE,TRUE,TRUE,women,4,4,Test Product,4,4
36,8000,DP-36,10000,Barcode-36,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,TRUE,TRUE,TRUE,TRUE,women,4,4,Test Product,4,4
37,8200,DP-37,10000,Barcode-37,Floral White Top,Stylish sleeveless white top with a floral pattern.,TRUE,TRUE,TRUE,TRUE,women,4,4,Test Product,4,4
38,8400,DP-38,10000,Barcode-38,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,TRUE,TRUE,TRUE,TRUE,women,4,4,Test Product,4,4
39,8600,DP-39,10000,Barcode-39,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",TRUE,TRUE,TRUE,TRUE,men,4,4,Test Product,4,4
